"business_name","registration_id","status","filing_date","agent_name","agent_address","agent_email"
"Silver Tech CORP","SD0000001","Active","1999-12-04","Sara Smith","9684 Market St","sara.smith.93bf1e7d-3cff-4577-97ec-a89c62b159fb@example.com"
"Silver Labs INC","SD0000037","Inactive","2016-09-18","Dave Garcia","7261 Market St","dave.garcia.39c0fc16-3f5e-4fa6-be01-38efef34491a@example.com"
"Silver Consulting CORP","SD0000053","Active","2000-05-01","Sara Miller","4504 Main St","sara.miller.ceab2492-8405-41e5-8848-a9fa3ed044cd@example.com"
"Silver Tech CORP","SD0000054","Active","2009-06-06","John Johnson","4146 River St","john.johnson.89c02094-17b3-46b8-8c3b-0c63e4404edf@example.com"
"Silver Ventures LP","SD0000088","Active","1997-06-20","Jen Wilson","1086 Pine St","jen.wilson.435317bd-79bd-46d8-b726-4c1b764cb242@example.com"
"Silver Works LLC","SD0000110","Active","2023-10-05","Maria Garcia","2537 Pine St","maria.garcia.0792fe8b-fd69-4495-8f48-c9ef74ca9960@example.com"
"Silver Studio CORP","SD0000144","Inactive","2018-12-21","Jen Davis","9789 River St","jen.davis.378041f8-8f61-4ab0-b304-a537175a3bb4@example.com"
"Silver Labs CORP","SD0000157","Active","2016-09-23","Gian Davis","1933 2nd St","gian.davis.97b16c83-1084-42f6-88b1-68b4e8fa48ed@example.com"
"Silver Consulting LP","SD0000160","Active","2011-08-26","Ezra Taylor","7439 Pine St","ezra.taylor.1ba01fe2-db8b-4eaf-9e4f-0fdd4622f935@example.com"
"Silver Pharmacy CORP","SD0000216","Inactive","1999-07-25","Sara Garcia","2350 Oak St","sara.garcia.bedcd7e2-82ba-4aa0-9415-3aab7c3d7f71@example.com"
"Silver Energy LLC","SD0000281","Active","2015-05-25","John Smith","9740 Main St","john.smith.466d7aff-123f-4eb5-858e-e8fbb38d75a2@example.com"
"Silver Studio LP","SD0000289","Inactive","2016-08-06","Maria Taylor","5885 Main St","maria.taylor.2883c7fe-cc78-415f-890b-2e479c5d079d@example.com"
"Silver Holdings LLC","SD0000311","Active","2001-11-21","Alex Anderson","6960 Oak St","alex.anderson.486f370f-b041-4358-98d2-a3e5d0f9dbc2@example.com"
"Silver Consulting LP","SD0000318","Dissolved","2006-03-22","John Davis","1649 2nd St","john.davis.b77d27ed-c67c-4bb8-a2f8-10f3549c8db0@example.com"
"Silver Works CORP","SD0000326","Inactive","2003-10-18","Gian Johnson","6181 Market St","gian.johnson.088d0942-b672-414e-9691-0cc477d0e46f@example.com"
"Silver Labs LP","SD0000366","Active","2014-08-07","Sara Smith","327 Pine St","sara.smith.e22d4b56-f851-4e57-8ecb-15fbdf1f84a6@example.com"
"Silver Works INC","SD0000370","Active","2016-05-11","Jen Taylor","701 Oak St","jen.taylor.f472a5ac-67fd-4759-ab44-84cf9ceab2fd@example.com"
